network_type,district,longitude,latitude,population_density,user,expected_quality,actual_quality
3G,Промышленная зона,54.46516169663357,36.126040780216655,1355,250,-100,-108
4G,Промышленная зона,54.49406106259969,36.43251589752781,761,211,-96,-91
2G,Торговый центр,54.57877852063505,36.405566675424055,1028,142,-94,-90
2G,Восточный,54.45134756826176,36.23466575874736,548,267,-91,-91
3G,Южный,54.46071569040624,36.17892667021441,899,243,-84,-82
3G,Железнодорожный вокзал,54.459754894010594,36.40277657176992,1256,75,-84,-92
2G,Южный,54.59279638749497,36.271653347111965,554,215,-86,-83
2G,Восточный,54.577893828174126,36.10285631646611,925,271,-94,-104
2G,Центр,54.52057668368976,36.41845552928253,849,118,-89,-88
2G,Западный,54.58025484976952,36.14502075110655,634,193,-93,-100
2G,Центр,54.52398386298286,36.33924491734356,688,72,-91,-90
2G,Торговый центр,54.52303720998568,36.15425104136502,1070,137,-83,-83
3G,Западный,54.521063294475546,36.17207781727728,598,276,-93,-101
3G,Восточный,54.579421673928046,36.2226571756274,1174,282,-89,-90
2G,Северный,54.49877054653446,36.209301904071,642,185,-89,-83
2G,Студенческий городок,54.47432362249026,36.11750201662993,981,164,-100,-97
3G,Северный,54.47223182222011,36.12030633308383,1468,161,-100,-95
3G,Промышленная зона,54.55610856647793,36.113245288768766,729,244,-86,-77
4G,Торговый центр,54.57119190631565,36.21792471739127,681,110,-85,-85
2G,Западный,54.54656547505336,36.16758889142806,795,200,-95,-101
4G,Губернский парк,54.48792271846478,36.39138823577739,908,247,-88,-98
4G,Северный,54.55840741858704,36.30527964563251,949,190,-89,-83
2G,Южный,54.503597502098906,36.29505374349937,1138,198,-98,-92
3G,Центр,54.57880622661023,36.27762495810797,1437,175,-98,-94
3G,Губернский парк,54.50556144688308,36.37980475164834,1493,221,-96,-99
3G,Центр,54.54751333308078,36.17250273857637,774,263,-99,-106
3G,Губернский парк,54.46387894671266,36.100983350540496,1103,110,-87,-80
3G,Торговый центр,54.543435433999946,36.25345119018694,1425,288,-97,-91
3G,Торговый центр,54.46623817539263,36.139780321686914,903,173,-97,-92
2G,Студенческий городок,54.55549183300629,36.4430428235011,1164,272,-95,-88
4G,Восточный,54.58541484187825,36.34561345514511,579,168,-82,-85
3G,Промышленная зона,54.46164048834632,36.11647211669736,700,167,-96,-95
3G,Центр,54.45651788076657,36.10147562539044,1220,130,-86,-95
3G,Железнодорожный вокзал,54.51507686449423,36.41694684013735,766,157,-84,-83
3G,Северный,54.523159284348296,36.255664842833376,882,277,-88,-79
4G,Железнодорожный вокзал,54.45988327820256,36.28438587717457,1304,233,-86,-91
2G,Центр,54.47456133454603,36.14139292236625,1020,218,-86,-84
4G,Промышленная зона,54.58176496418756,36.15018332500518,722,115,-97,-105
2G,Центр,54.54371028373984,36.292435399038425,598,91,-94,-92
3G,Западный,54.57093787197026,36.42357163879152,1282,214,-93,-94
2G,Южный,54.58743431352477,36.30715839097726,1375,112,-84,-80
3G,Железнодорожный вокзал,54.53960633208276,36.1219225983948,881,132,-86,-82
3G,Железнодорожный вокзал,54.53826392165541,36.35357604433634,727,231,-89,-86
2G,Губернский парк,54.47406675370596,36.36261268104659,1132,56,-84,-90
3G,Центр,54.564441009654615,36.13589783551193,790,234,-91,-87
4G,Промышленная зона,54.529241834113,36.35953745731334,896,216,-96,-103
4G,Торговый центр,54.57119185583218,36.12502384033618,973,151,-86,-90
2G,Северный,54.47019214961118,36.16796977993951,527,178,-96,-88
2G,Губернский парк,54.52247233159899,36.24334186052937,1406,100,-88,-93
4G,Студенческий городок,54.56890008788108,36.35499599956941,542,237,-90,-89
